Timestamp,X,Y,Z,Collision_object
2024-02-13 11:39:30.334,-0.2755573,-1.88,-5.005349,0
2024-02-13 11:39:30.351,-0.6708482,-1.88,-5.005349,0
2024-02-13 11:39:30.367,-0.6708482,-1.88,-5.005349,0
2024-02-13 11:39:30.386,-1.066139,-1.88,-5.005349,0
2024-02-13 11:39:30.403,-1.46143,-1.88,-5.005349,0
2024-02-13 11:39:30.412,-1.856721,-1.88,-5.005349,0
2024-02-13 11:39:30.432,-2.252012,-1.88,-5.005349,0
2024-02-13 11:39:30.448,-2.252012,-1.88,-5.005349,0
2024-02-13 11:39:30.467,-2.252012,-1.88,-5.005349,0
2024-02-13 11:39:30.488,-2.252012,-1.88,-5.005349,0
2024-02-13 11:39:30.497,-2.252012,-1.88,-5.005349,0
2024-02-13 11:39:30.507,-2.252012,-1.88,-5.005349,0
2024-02-13 11:39:30.531,-2.252012,-1.88,-5.005349,0
2024-02-13 11:39:30.547,-2.252012,-1.88,-5.005349,0
2024-02-13 11:39:30.566,-2.252012,-1.88,-5.005349,0
2024-02-13 11:39:30.586,-2.252012,-1.88,-4.610058,0
2024-02-13 11:39:30.595,-2.252012,-1.88,-4.214767,0
2024-02-13 11:39:30.616,-2.252012,-1.88,-3.819476,0
2024-02-13 11:39:30.634,-2.252012,-1.88,-3.424185,0
2024-02-13 11:39:30.653,-2.252012,-1.88,-3.028894,0
2024-02-13 11:39:30.659,-2.252012,-1.88,-3.028894,0
2024-02-13 11:39:30.682,-2.252012,-1.88,-2.633604,0
2024-02-13 11:39:30.701,-2.252012,-1.88,-2.238313,0
2024-02-13 11:39:30.719,-2.252012,-1.88,-1.843022,0
2024-02-13 11:39:30.736,-2.252012,-1.88,-1.447731,0
2024-02-13 11:39:30.742,-2.252012,-1.88,-1.447731,0
2024-02-13 11:39:30.765,-2.252012,-1.88,-1.05244,0
2024-02-13 11:39:30.784,-2.252012,-1.88,-0.6571493,0
2024-02-13 11:39:30.801,-2.252012,-1.88,-0.2618583,0
2024-02-13 11:39:30.818,-2.252012,-1.88,0.1334326,0
2024-02-13 11:39:30.837,-2.252012,-1.88,0.5287235,0
2024-02-13 11:39:30.843,-2.252012,-1.88,0.5287235,0
2024-02-13 11:39:30.867,-2.252012,-1.88,0.9240144,0
2024-02-13 11:39:30.886,-2.252012,-1.88,1.319305,0
2024-02-13 11:39:30.894,-2.252012,-1.88,1.714596,0
2024-02-13 11:39:30.916,-2.252012,-1.88,2.109887,0
2024-02-13 11:39:30.936,-2.252012,-1.88,2.505178,0
2024-02-13 11:39:30.943,-2.252012,-1.88,2.505178,0
2024-02-13 11:39:30.967,-2.252012,-1.88,2.900469,0
2024-02-13 11:39:30.986,-2.252012,-1.88,3.29576,0
2024-02-13 11:39:31.003,-2.252012,-1.88,3.691051,0
2024-02-13 11:39:31.018,-2.252012,-1.88,4.086341,0
2024-02-13 11:39:31.028,-2.252012,-1.88,4.086341,0
2024-02-13 11:39:31.051,-2.252012,-1.88,4.876923,0
2024-02-13 11:39:31.072,-2.252012,-1.88,5.272214,0
2024-02-13 11:39:31.078,-2.252012,-1.88,5.272214,0
